mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,delta_mfcc_1,delta_mfcc_2,delta_mfcc_3,delta_mfcc_4,delta_mfcc_5,delta_mfcc_6,delta_mfcc_7,delta_mfcc_8,delta_mfcc_9,delta_mfcc_10,delta_mfcc_11,delta_mfcc_12,delta_mfcc_13,delta2_mfcc_1,delta2_mfcc_2,delta2_mfcc_3,delta2_mfcc_4,delta2_mfcc_5,delta2_mfcc_6,delta2_mfcc_7,delta2_mfcc_8,delta2_mfcc_9,delta2_mfcc_10,delta2_mfcc_11,delta2_mfcc_12,delta2_mfcc_13,label
-3.3534515,0.78476167,1.8993971,0.13267814,0.4571977,1.6991874,-0.9364528,-0.5095211,0.25278416,0.9917412,-0.2052791,1.128457,0.00199549,-0.008812486,1.7251408,0.42084566,-0.34347156,0.4540756,0.8992263,-0.53252286,1.7334231,-1.2572343,-2.1675465,-0.23954028,-1.0441537,-0.2531755,-0.011149026,-0.12777175,-0.8945196,1.5154879,-0.46270022,-0.70994925,2.0164719,-0.530404,-0.3766402,1.2453198,0.08042032,-0.05990078,2.030223,1
0.5932875,0.46458867,-1.5566471,-0.41053483,0.3127387,-0.09199449,-0.17551652,-0.14498536,-0.025936807,0.029275844,0.5893258,-0.07629854,0.119970135,0.67633164,2.7563539,1.0615809,-0.80780506,-0.3955218,0.20472394,-0.718273,0.62639207,-0.4680903,-1.9234132,-0.9105352,1.2243481,1.3146722,-1.7345071,-0.6215667,2.052269,2.3460972,1.7349448,0.9118457,0.92970294,0.10150454,-0.015192637,0.61095464,-2.3104925,-1.9560478,1.8282206,1
-0.38387117,0.6381586,0.93084997,-1.3479882,-1.4664234,-1.2529405,1.0827272,1.0894976,0.7374327,-1.4934851,0.46136856,-0.024211207,-0.73490816,-0.19718677,-1.8389815,-1.0868155,-0.15292889,-0.8270712,-0.25663,1.9264235,1.7794665,2.3892517,0.56717175,-1.1248031,0.6290308,0.56807065,0.31966096,1.5452541,0.97687197,-0.6462333,-0.18576048,-0.83919036,-1.8301936,-1.1866665,-2.0923586,-1.722822,0.35488954,-0.35688683,-0.27572933,1
0.40484688,0.02511309,0.05926312,1.3137761,1.3674197,-0.5246436,0.09090923,-0.15276858,-0.009608905,-1.0876395,-1.2298838,-1.4122311,0.36754197,-0.40589872,0.4502591,1.9728893,0.6618527,-0.23734458,2.2155836,0.8129806,0.63163644,-0.05011859,-0.9983668,-1.1488811,-0.17661461,-0.64547867,-0.7525587,-1.2832018,-0.40446842,1.1176511,1.5890615,-0.9284428,0.4311475,-0.4582251,1.5680422,1.0385967,0.80787474,1.1589452,0.26134244,1
-0.04395599,-0.008169259,-0.7752056,-0.79839295,-1.5122317,-0.10990828,-0.13465182,1.0413983,-0.28264424,0.20597033,0.27362075,1.4977915,1.0340781,-0.46825466,-0.3702337,-1.9919086,-0.8825578,-0.18284675,-1.1663654,-0.07807956,-0.737994,0.17554273,1.0107332,1.2510661,0.7539124,1.3224846,-0.29869494,2.3612678,-0.44682774,0.5856975,1.0658368,-0.5193087,0.22684878,-1.0828696,-1.5516495,-0.8348385,-1.5554028,-2.4522793,-0.7027137,1
0.2142626,-0.32357687,-0.43504903,1.7642776,1.0457368,-0.8021697,-0.24351634,1.6531541,0.014356797,-1.3557049,-0.7783177,-1.2151724,-0.5880611,-0.87454635,0.5378058,1.7997254,0.25606975,0.34521943,1.9516808,1.1510912,0.8760804,0.30804944,-0.70586616,-0.8195027,-1.9188786,-1.5512742,-0.8353164,-0.64806616,-0.8022489,-0.09933131,0.97916436,-0.12695092,1.4774342,-0.18973352,0.36820742,1.0336109,0.8095795,0.7139457,0.851523,1
0.43834263,-0.68190944,-0.25660872,-0.9051545,0.9870179,-0.5624863,0.3291927,-0.08361144,0.73631567,0.17040141,0.14653663,-0.08133875,0.2411726,0.6777061,-0.36704248,-1.2972387,-0.93906355,-2.062581,0.3645216,1.7417607,-0.31329486,0.7766234,1.7343056,-0.29306835,0.1442761,1.4388449,0.20224471,-0.20474523,-1.0816809,-0.73383904,-0.33406225,-2.4971058,-0.68159133,0.98403895,0.16170265,-0.24373905,0.55863607,-0.6450512,0.87362176,1
1.9955692,0.8330227,-1.5560095,-1.4752492,-1.1407373,-1.7396199,1.6230675,1.1909178,1.7790024,-1.7751789,1.3845909,1.6547672,-1.0865037,0.32794803,0.42946592,-0.08680022,-0.5159828,-0.57060456,0.14983329,-0.7843849,-0.25557828,-0.3569072,-0.6088246,-0.52336985,1.4114058,0.40147462,-1.3882132,-0.1891266,0.5047488,0.70778966,0.76608396,0.09632011,-1.748557,0.4161487,-0.73803633,-0.3778766,0.73701537,-2.3957393,-1.4701537,1
1.7738771,-0.9351002,-1.8963172,0.22377807,-0.14927815,-0.7489324,-1.4496596,-0.8741725,0.6976329,0.19615355,1.17127,-0.33221996,-0.17972149,2.1854088,1.477448,0.09427304,-1.2553824,-0.8934101,0.7023137,-2.89723,-0.4417296,-0.17464451,-0.42330885,-0.06934135,0.3686707,-1.4318949,-1.620985,-0.28232855,0.5064014,0.13772938,0.94821596,-0.72378117,0.006394794,-0.998026,0.71939236,0.27553904,0.18096742,0.6949661,1.1821822,1
-0.23003066,-0.84595776,-1.1870722,0.3111498,-0.17875479,0.54361266,-0.21387473,0.041787155,0.4677347,0.28025305,0.19347899,0.16297594,0.55654985,0.3144059,-1.7110437,-0.94213104,-0.35476485,-0.35006532,0.08864218,0.5460573,-0.9245637,0.37531224,1.8172927,-6.49E-05,0.7274385,0.15930139,1.5432299,1.8892382,-1.4467105,-2.3633363,0.7729057,-1.0076526,-0.46712095,-0.59198827,-1.6731632,1.0191221,-0.032299824,-1.3182756,0.31400928,1
